Title,ID,Study_Type,PDF_File,Error
Incidence of Delayed Intracranial Hemorrhage in Older Patients After Blunt Head Trauma,29450470,obs,PMC5875320,PDF Download
Assessment of Follow-up Care After Emergency Department Presentation for Mild Traumatic Brain Injury and Concussion: Results From the TRACK-TBI Study,30646055,obs,PMC6324305,PDF Download
Nonsurgical Treatment for Posttraumatic Complete Facial Nerve Paralysis,29470563,obs,PMC5876901,PDF Download
Long-Term Mortality and Bone Safety in Patients with End-Stage Renal Disease Receiving Lanthanum Carbonate,30352437,obs,PMC6390446,PDF Download
Injuries Associated with Hoverboard Use: A Case Series of Emergency Department Patients,29085528,obs,PMC5654891,TBD
Pathology and immunohistochemistry of capsular bag in spontaneously late dislocated capsular bag-intraocular lens complex,29044059,obs,PMC5678330,PDF Download
Association of Prehospital Blood Product Transfusion During Medical Evacuation of Combat Casualties in Afghanistan With Acute and 30-Day Survival,29067429,obs,PMC5818807,PDF Download
"An observational study of incidence, risk factors & outcome of systemic inflammatory response & organ dysfunction following major trauma",29355141,obs,PMC5793469,PDF Download
Handheld In Vivo Reflectance Confocal Microscopy for the Diagnosis of Eyelid Margin and Conjunctival Tumors,28654937,obs,PMC5710297,PDF Download
Association Between Alendronate Use and Hip Fracture Risk in Older Patients Using Oral Prednisolone,28697254,obs,PMC5817469,PDF Download
Older Men With Anemia Have Increased Fracture Risk Independent of Bone Mineral Density,28368469,obs,PMC5505193,PDF Download
Does prehospital time affect survival of major trauma patients where there is no prehospital care?,28272069,obs,PMC5525481,PDF Download
Sex Steroid Hormones and Fracture in a Multiethnic Cohort of Women: The Women's Health Initiative Study (WHI),28324031,obs,PMC5443326,PDF Download
Falling Down on the Job: Evaluation and Treatment of Fall Risk Among Older Adults With Upper Extremity Fragility Fractures,28340130,obs,PMC5722053,PDF Download
"Urban Bicyclist Trauma: Characterizing the Injuries, Consequent Surgeries, and Essential Sub-Specialties Providing Care",28234112,obs,PMC5737017,TBD
Secular trends in fracture incidence in the UK between 1990 and 2012,27283403,obs,PMC5035540,TBD
Elevations in growth hormone and glucagon-like peptide-2 levels on admission are associated with increased mortality in trauma patients,27716276,obs,PMC5050752,TBD
Diurnal Rhythms of Bone Turnover Markers in Three Ethnic Groups,27294326,obs,PMC4971334,PDF Download
Inequalities in use of total hip arthroplasty for hip fracture: population based study,27122469,obs,PMC4849171,PDF Download
Transiliac Osteotomy in Surgical Management of Pelvic Post-Traumatic Malunions: A Retrospective Study,27043674,obs,PMC4998535,TBD
Association Between Chronic Conditions and Physical Function Among Veteran and Non-Veteran Women With Diabetes,26768385,obs,PMC5881620,TBD
Animal Bites and Rabies Prophylaxis in Rural Children: Indian Perspective,26510700,obs,PMC4892388,PDF Download
Detailed description of anatomy of the fracture line in hangman's injury: a retrospective observational study on motor vehicle accident victims,26607649,obs,PMC4985222,TBD
Bone Mineral Density as a Predictor of Subsequent Wrist Fractures: Findings From the Women's Health Initiative Study,26367200,obs,PMC4702460,PDF Download
TNF Receptors Predict Hip Fracture Risk in the WHI Study and Fatty Acid Intake Does Not Modify This Association,26161450,obs,PMC4570162,PDF Download
"Patient Effort in Traumatic Brain Injury Inpatient Rehabilitation: Course and Associations With Age, Brain Injury Severity, and Time Postinjury",26212400,obs,PMC5504881,TBD
Relationship of Bone Metabolism Biomarkers and Periodontal Disease: The Osteoporotic Fractures in Men (MrOS) Study,25856210,obs,PMC4454801,PDF Download
Association between early airway damage-associated molecular patterns and subsequent bacterial infection in patients with inhalational and burn injury,25770180,obs,PMC4421787,PDF Download
Comparison of fracture risk prediction among individuals with reduced and normal kidney function,25655423,obs,PMC4386249,PDF Download
Postmenopausal weight change and incidence of fracture: post hoc findings from Women's Health Initiative Observational Study and Clinical Trials,25627698,obs,PMC6168976,PDF Download
Milk intake and risk of mortality and fractures in women and men: cohort studies,25352269,obs,PMC4212225,PDF Download
Maternal quality and safety outcomes for Asians and Pacific Islanders in Hawai'i: an observational study from five years of statewide data,25174436,obs,PMC4158120,TBD
Empirically based composite fracture prediction model from the Global Longitudinal Study of Osteoporosis in Postmenopausal Women (GLOW),24423345,obs,PMC5393481,PDF Download
Predictors of fracture while on treatment with oral bisphosphonates: a population-based cohort study,23761350,obs,PMC3867340,TBD
Comparative clinical evaluation of breast augmentation using silicone foam coated implants and textured implants,32555938,rct,PMC7292626,PDF Download
"Hypofractionated breast radiotherapy for 1 week versus 3 weeks (FAST-Forward): 5-year efficacy and late normal tissue effects results from a multicentre, non-inferiority, randomised, phase 3 trial",32580883,rct,PMC7262592,PDF Download
Plaster cast versus functional brace for non-surgical treatment of Achilles tendon rupture (UKSTAR): a multicentre randomised controlled trial and economic evaluation,32035553,rct,PMC7016510,PDF Download
Short halt in vaping modifies cardiorespiratory parameters and urine metabolome: a randomized trial,31721596,rct,PMC7052663,PDF Download
Effect of Incisional Negative Pressure Wound Therapy vs Standard Wound Dressing on Deep Surgical Site Infection After Surgery for Lower Limb Fractures Associated With Major Trauma: The WHIST Randomized Clinical Trial,32044942,rct,PMC7042841,PDF Download
Assessment of Anatomic Restoration of Distal Radius Fractures Among Older Adults: A Secondary Analysis of a Randomized Clinical Trial,31951273,rct,PMC6991267,PDF Download
Effect of True and Sham Acupuncture on Radiation-Induced Xerostomia Among Patients With Head and Neck Cancer: A Randomized Clinical Trial,31808921,rct,PMC6902763,PDF Download
The effect of remote ischaemic preconditioning on myocardial injury in emergency hip fracture surgery (PIXIE trial): phase II randomised clinical trial,31801725,rct,PMC6891801,PDF Download
Effect of Single-Fraction vs Multifraction Radiotherapy on Ambulatory Status Among Patients With Spinal Canal Compression From Metastatic Cancer: The SCORAD Randomized Clinical Trial,31794625,rct,PMC6902166,PDF Download
"Effects of tranexamic acid on death, disability, vascular occlusive events and other morbidities in patients with acute traumatic brain injury (CRASH-3): a randomised, placebo-controlled trial",31623894,rct,PMC6853170,PDF Download
Effect of Low-Dose Supplementation of Arginine Vasopressin on Need for Blood Product Transfusions in Patients With Trauma and Hemorrhagic Shock: A Randomized Clinical Trial,31461138,rct,PMC6714462,PDF Download
"Platelet rich plasma injection for acute Achilles tendon rupture: PATH-2 randomised, placebo controlled, superiority trial",31748208,rct,PMC6863552,PDF Download
Effect of a Multicomponent Home-Based Physical Therapy Intervention on Ambulation After Hip Fracture in Older Adults: The CAP Randomized Clinical Trial,31503309,rct,PMC6737521,PDF Download
The Effect of the Interactive Mobile Health and Rehabilitation System on Health and Psychosocial Outcomes in Spinal Cord Injury: Randomized Controlled Trial,31464189,rct,PMC6737885,PDF Download
An App-Based Intervention for Caregivers to Prevent Unintentional Injury Among Preschoolers: Cluster Randomized Controlled Trial,31400105,rct,PMC6713040,PDF Download
Probiotics [LGG-BB12 or RC14-GR1] versus placebo as prophylaxis for urinary tract infection in persons with spinal cord injury [ProSCIUTTU]: a randomised controlled trial,30814670,rct,PMC6760555,TBD
Antiplatelet Therapy vs Anticoagulation Therapy in Cervical Artery Dissection: The Cervical Artery Dissection in Stroke Study (CADISS) Randomized Clinical Trial Final Results,30801621,rct,PMC6563567,PDF Download
Effect of Trans-Nasal Evaporative Intra-arrest Cooling on Functional Neurologic Outcome in Out-of-Hospital Cardiac Arrest: The PRINCESS Randomized Clinical Trial,31063573,rct,PMC6506882,PDF Download
Early Subthreshold Aerobic Exercise for Sport-Related Concussion: A Randomized Clinical Trial,30715132,rct,PMC6450274,PDF Download
Effect of Doxepin Mouthwash or Diphenhydramine-Lidocaine-Antacid Mouthwash vs Placebo on Radiotherapy-Related Oral Mucositis Pain: The Alliance A221304 Randomized Clinical Trial,30990550,rct,PMC6484809,PDF Download
"SIAXI: Placebo-controlled, randomized, double-blind study of incobotulinumtoxinA for sialorrhea",30918101,rct,PMC6511076,TBD
Intensive Balance Training for Adults With Incomplete Spinal Cord Injuries: Protocol for an Assessor-Blinded Randomized Clinical Trial,30576475,rct,PMC6438350,PDF Download
Comparison of Running Cutaneous Suture Spacing During Linear Wound Closures and the Effect on Wound Cosmesis of the Face and Neck: A Randomized Clinical Trial,30649154,rct,PMC6439934,PDF Download
Assessment of Distal Radius Fracture Complications Among Adults 60 Years or Older: A Secondary Analysis of the WRIST Randomized Clinical Trial,30657531,rct,PMC6484535,PDF Download
"Three week versus six week immobilisation for stable Weber B type ankle fractures: randomised, multicentre, non-inferiority clinical trial",30674451,rct,PMC6342249,PDF Download
"Effects of fluoxetine on functional outcomes after acute stroke (FOCUS): a pragmatic, double-blind, randomised, controlled trial",30528472,rct,PMC6336936,PDF Download
Effect of Early Sustained Prophylactic Hypothermia on Neurologic Outcomes Among Patients With Severe Traumatic Brain Injury: The POLAR Randomized Clinical Trial,30357266,rct,PMC6583488,PDF Download
Association of Transforming Growth Factor β Polymorphism C-509T With Radiation-Induced Fibrosis Among Patients With Early-Stage Breast Cancer: A Secondary Analysis of a Randomized Clinical Trial,30027292,rct,PMC6248087,PDF Download
Parachute use to prevent death and major trauma when jumping from aircraft: randomized controlled trial,30545967,rct,PMC6298200,PDF Download
Effect of Depth of Sedation in Older Patients Undergoing Hip Fracture Repair on Postoperative Delirium: The STRIDE Randomized Clinical Trial,30090923,rct,PMC6583071,PDF Download
Safety and Efficacy of Atorvastatin for Chronic Subdural Hematoma in Chinese Patients: A Randomized ClinicalTrial,30073290,rct,PMC6248109,PDF Download
Combining Technology and Research to Prevent Scald Injuries (the Cool Runnings Intervention): Randomized Controlled Trial,30305263,rct,PMC6234332,PDF Download
Effect of Early Surgery vs Physical Therapy on Knee Function Among Patients With Nonobstructive Meniscal Tears: The ESCAPE Randomized Clinical Trial,30285177,rct,PMC6583004,PDF Download
Effect of the Head Computed Tomography Choice Decision Aid in Parents of Children With Minor Head Trauma: A Cluster Randomized Trial,30646167,rct,PMC6324506,PDF Download
ACTIVExtend: 24 Months of Alendronate After 18 Months of Abaloparatide or Placebo for Postmenopausal Osteoporosis,29800372,rct,PMC6097601,PDF Download
"Effect of a 6-Week Weighted Baseball Throwing Program on Pitch Velocity, Pitching Arm Biomechanics, Passive Range of Motion, and Injury Rates",29882722,rct,PMC6044122,TBD
"Subacromial decompression versus diagnostic arthroscopy for shoulder impingement: randomised, placebo surgery controlled clinical trial",30026230,rct,PMC6052435,PDF Download
Effect of Pain Neuroscience Education Combined With Cognition-Targeted Motor Control Training on Chronic Spinal Pain: A Randomized Clinical Trial,29710099,rct,PMC6145763,PDF Download
Graded motor imagery for women at risk for developing type I CRPS following closed treatment of distal radius fractures: a randomized comparative effectiveness trial protocol,29940926,rct,PMC6020224,TBD
Effect of Negative Pressure Wound Therapy vs Standard Wound Management on 12-Month Disability Among Adults With Severe Open Fracture of the Lower Limb: The WOLLF Randomized Clinical Trial,29896626,rct,PMC6583504,PDF Download
Geography of Fracture Incidence in Postmenopausal Women with Osteoporosis Treated with Abaloparatide,29285549,rct,PMC5956009,TBD
Interest and Uptake of MC1R Testing for Melanoma Risk in a Diverse Primary Care Population: A Randomized Clinical Trial,29801061,rct,PMC5999534,PDF Download
Effect of Standard vs Dose-Escalated Radiation Therapy for Patients With Intermediate-Risk Prostate Cancer: The NRG Oncology RTOG 0126 Randomized Clinical Trial,29543933,rct,PMC5885160,PDF Download
Editor's Choice - Re-interventions After Repair of Ruptured Abdominal Aortic Aneurysm: A Report From the IMPROVE Randomised Trial,29503083,rct,PMC5967970,PDF Download
Vertebroplasty versus sham procedure for painful acute osteoporotic vertebral compression fractures (VERTOS IV): randomised sham controlled clinical trial,29743284,rct,PMC5941218,PDF Download
"Education plus exercise versus corticosteroid injection use versus a wait and see approach on global outcome and pain from gluteal tendinopathy: prospective, single blinded, randomised clinical trial",29720374,rct,PMC5930290,PDF Download
Effect of a Postpartum Training Program on the Prevalence of Diastasis Recti Abdominis in Postpartum Primiparous Women: A Randomized Controlled Trial,29351646,rct,PMC5963302,PDF Download
Comparative evaluation of rotational stability and visual outcome of toric intraocular lenses with and without a capsular tension ring,29480253,rct,PMC5859597,PDF Download
"Short-term metformin and exercise training effects on strength, aerobic capacity, glycemic control, and mitochondrial function in children with burn injury",29138224,rct,PMC5899215,PDF Download
Digital Gaming for Improving the Functioning of People With Traumatic Brain Injury: Randomized Clinical Feasibility Study,29555622,rct,PMC5881042,PDF Download
"Effect of Antibiotic Prophylaxis on Surgical Site Infections Following Removal of Orthopedic Implants Used for Treatment of Foot, Ankle, and Lower Leg Fractures: A Randomized Clinical Trial",29279933,rct,PMC5820713,PDF Download
Effect of Locking Plate Fixation vs Intramedullary Nail Fixation on 6-Month Disability Among Adults With Displaced Fracture of the Distal Tibia: The UK FixDT Randomized Clinical Trial,29136444,rct,PMC5820712,PDF Download
Primary prevention of ocular injury in agricultural workers with safety eyewear,28905831,rct,PMC5621270,PDF Download
Effect of Ganciclovir on IL-6 Levels Among Cytomegalovirus-Seropositive Adults With Critical Illness: A Randomized Clinical Trial,28829877,rct,PMC5817487,PDF Download
Continued Treatment Effect of Zoledronic Acid Dosing Every 12 vs 4 Weeks in Women With Breast Cancer Metastatic to Bone: The OPTIMIZE-2 Randomized Clinical Trial,28125763,rct,PMC5824238,PDF Download
"Effect of Abdominal Ultrasound on Clinical Care, Outcomes, and Resource Use Among Children With Blunt Torso Trauma: A Randomized Clinical Trial",28609532,rct,PMC5815005,PDF Download
Effect of Acupuncture and Clomiphene in Chinese Women With Polycystic Ovary Syndrome: A Randomized Clinical Trial,28655015,rct,PMC5815063,PDF Download
Improved long-term survival with subdural drains following evacuation of chronic subdural haematoma,28349381,rct,PMC5385189,TBD
Pioglitazone and Risk for Bone Fracture: Safety Data From a Randomized Clinical Trial,27935736,rct,PMC5460686,PDF Download
Real-time optimized biofeedback utilizing sport techniques (ROBUST): a study protocol for a randomized controlled trial,28173788,rct,PMC5297146,PDF Download
Randomised trial assessing the impact of framing of fracture risk and osteoporosis treatment benefits in patients undergoing bone densitometry,28188155,rct,PMC5306512,TBD
"Improving community ambulation after hip fracture: protocol for a randomised, controlled trial",27964962,rct,PMC5388063,TBD
No Increase in Fractures After Stopping Hormone Therapy: Results From the Women's Health Initiative,27820659,rct,PMC6287395,PDF Download
Effect of early supervised physiotherapy on recovery from acute ankle sprain: randomised controlled trial,27852621,rct,PMC5112179,PDF Download
Re-evaluation of low intensity pulsed ultrasound in treatment of tibial fractures (TRUST): randomized clinical trial,27797787,rct,PMC5080447,PDF Download
Exercise therapy versus arthroscopic partial meniscectomy for degenerative meniscal tear in middle aged patients: randomised controlled trial with two year follow-up,27440192,rct,PMC4957588,PDF Download
Acute skin toxicity associated with a 1-week schedule of whole breast radiotherapy compared with a standard 3-week regimen delivered in the UK FAST-Forward Trial,27046390,rct,PMC4998960,PDF Download
"Vaginal progesterone prophylaxis for preterm birth (the OPPTIMUM study): a multicentre, randomised, double-blind trial",26921136,rct,PMC5406617,PDF Download
"The design of the run Clever randomized trial: running volume, -intensity and running-related injuries",27107810,rct,PMC4842282,PDF Download
"The efficacy of continuous-flow cryo and cyclic compression therapy after hip fracture surgery on postoperative pain: design of a prospective, open-label, parallel, multicenter, randomized controlled, clinical trial",27059990,rct,PMC4826534,TBD
Comparison between long- and short-axis techniques for ultrasound-guided cannulation of internal jugular vein,27052071,rct,PMC4900334,TBD
Pioglitazone after Ischemic Stroke or Transient Ischemic Attack,26886418,rct,PMC4887756,TBD
Botulinum toxin type A for neuropathic pain in patients with spinal cord injury,26814620,rct,PMC4825405,TBD
Dissociations of the Fluocinolone Acetonide Implant: The Multicenter Uveitis Steroid Treatment (MUST) Trial and Follow-up Study,26748056,rct,PMC4811688,TBD
Effects of zoledronic acid on bone fusion in osteoporotic patients after lumbar fusion,26556733,rct,PMC4792656,TBD
FIVE-YEAR OUTCOMES AFTER LONG-TERM OXANDROLONE ADMINISTRATION IN SEVERELY BURNED CHILDREN: A RANDOMIZED CLINICAL TRIAL,26506070,rct,PMC4792676,TBD
Randomized Placebo-Controlled Trial of Methylphenidate or Galantamine for Persistent Emotional and Cognitive Symptoms Associated with PTSD and/or Traumatic Brain Injury,26361060,rct,PMC4793116,PDF Download
"Comparison between orogastric tube/bougie and a suction calibration system for effects on operative duration, staple-line corkscrewing, and esophageal perforation during laparoscopic sleeve gastrectomy",26169646,rct,PMC4802001,TBD
Randomized comparison of tape versus semi-rigid and versus lace-up ankle support in the treatment of acute lateral ankle ligament injury,26044353,rct,PMC4823346,TBD
Physiologic and Perceptual Responses to Cold-Shower Cooling After Exercise-Induced Hyperthermia,26942657,rct,PMC4852530,TBD
Effects of interventions on trajectories of health-related quality of life among older patients with hip fracture: a prospective randomized controlled trial,26936194,rct,PMC4776406,TBD
Rehabilitation for Chronic Ankle Instability With or Without Destabilization Devices: A Randomized Controlled Trial,26934211,rct,PMC4852529,TBD
Ultrasound-guided nerve blocks for intracapsular and extracapsular hip fractures,26809928,rct,PMC4799725,TBD
"An exercise trial to reduce cancer related fatigue in African American breast cancer patients undergoing radiation therapy: Design, rationale, and methods",26795673,rct,PMC4818171,TBD
Brain injury in the international multicenter randomized SafeBoosC phase II feasibility trial: cranial ultrasound and magnetic resonance imaging assessments,26571218,rct,PMC4823642,TBD
Pain and analgesic use associated with skeletal-related events in patients with advanced cancer and bone metastases,26329397,rct,PMC4729787,TBD
Electromyographic Activity of Scapular Muscle Control in Free-Motion Exercise,26986055,rct,PMC4852525,TBD
"Clinical effectiveness, quality of life and cost-effectiveness of Flaminal® versus Flamazine® in the treatment of partial thickness burns: study protocol for a randomized controlled trial",26945575,rct,PMC4779241,TBD
Thoracic kyphosis and rate of incident vertebral fractures: the Fracture Intervention Trial,26782685,rct,PMC4939887,TBD
"Safety, Immunogenicity, and Protective Efficacy of Intradermal Immunization with Aseptic, Purified, Cryopreserved Plasmodium falciparum Sporozoites in Volunteers Under Chloroquine Prophylaxis: A Randomized Controlled Trial",26711509,rct,PMC4775905,TBD
Intraoperative cell salvage during cardiac surgery is associated with reduced postoperative lung injury,26705299,rct,PMC4986566,TBD
Cardioprotection and Safety of Dexrazoxane in Patients Treated for Newly Diagnosed T-Cell Acute Lymphoblastic Leukemia or Advanced-Stage Lymphoblastic Non-Hodgkin Lymphoma: A Report of the Children's Oncology Group Randomized Trial Pediatric Oncology Group 9404,26700126,rct,PMC4872007,TBD
Reaming Does Not Affect Functional Outcomes After Open and Closed Tibial Shaft Fractures: The Results of a Randomized Controlled Trial,26618662,rct,PMC4761270,TBD
Who benefits from orthogeriatric treatment? Results from the Trondheim hip-fracture trial,26895846,rct,PMC4761133,TBD
"Internal plate fixation versus plaster in displaced complete articular distal radius fractures, a randomised controlled trial",26860090,rct,PMC4748545,TBD
Antioxidant activity of linalool in patients with carpal tunnel syndrome,26831333,rct,PMC4736622,PDF Download
"Effect of Remote Ischaemic Conditioning in Oncology Patients Undergoing Chemotherapy: Rationale and Design of the ERIC-ONC Study--A Single-Center, Blinded, Randomized Controlled Trial",26807534,rct,PMC4864751,TBD
"Hyperbaric oxygen for patients with chronic bowel dysfunction after pelvic radiotherapy (HOT2): a randomised, double-blind, sham-controlled phase 3 trial",26703894,rct,PMC4737893,TBD
Resilience and vulnerability in individuals with chronic pain and physical disability,26881303,rct,PMC4758368,TBD
Effects of midodrine and L-NAME on systemic and cerebral hemodynamics during cognitive activation in spinal cord injury and intact controls,26869679,rct,PMC4758920,TBD
A Pilot Study Evaluating the Effectiveness of Platelet-Rich Plasma Therapy for Treating Degenerative Tendinopathies: A Randomized Control Trial with Synchronous Observational Cohort,26849812,rct,PMC4743976,TBD
Exercise and fall prevention self-management to reduce mobility-related disability and falls after fall-related lower limb fracture in older people: protocol for the RESTORE (Recovery Exercises and STepping On afteR fracturE) randomised controlled trial,26838998,rct,PMC4739405,TBD
Effects of community-based exercise in children with severe burns: A randomized trial,26643401,rct,PMC4724475,TBD
A Randomized Controlled Trial of a Telephone Intervention for Alcohol Misuse With Injured Emergency Department Patients,26585044,rct,PMC4724518,TBD
The incidence of ARDS and associated mortality in severe TBI using the Berlin definition,26491799,rct,PMC4731296,TBD
"PTH 1-34 (teriparatide) may not improve healing in proximal humerus fractures. A randomized, controlled study of 40 patients",26179771,rct,PMC4940597,TBD
A Prospective Study of Platelet-Rich Plasma as Biological Augmentation for Acute Achilles Tendon Rupture Repair,28116306,rct,PMC5225328,TBD
Clinical Effects of the Probing Method with Depth Gauge for Determining the Screw Depth of Locking Proximal Humeral Plate,27975055,rct,PMC5126400,TBD
Predictors for Return to Work in Subjects with Mild Traumatic Brain Injury,26980942,rct,PMC4769738,TBD
Dose reduction in 64-row whole-body CT in multiple trauma: an optimized CT protocol with iterative image reconstruction on a gemstone-based scintillator,26853510,rct,PMC4985483,TBD
Chitosan nerve tube for primary repair of traumatic sensory nerve lesions of the hand without a gap: study protocol for a randomized controlled trial,26811067,rct,PMC4727346,TBD
"A cluster randomised controlled trial of advice, exercise or multifactorial assessment to prevent falls and fractures in community-dwelling older adults: protocol for the prevention of falls injury trial (PreFIT)",26781504,rct,PMC4735205,TBD
National evaluation of strategies to reduce safety violations for working from heights in construction companies: results from a randomized controlled trial,26749431,rct,PMC4706718,TBD
Tympanoplasty--conchal cavum approach,26739478,rct,PMC4702389,TBD
Effect of ski geometry and standing height on kinetic energy: equipment designed to reduce risk of severe traumatic injuries in alpine downhill ski racing,26702013,rct,PMC4717407,TBD
Fall injuries in Baghdad from 2003 to 2014: Results of a randomised household cluster survey,26626808,rct,PMC4698051,TBD
Effects of Canagliflozin on Fracture Risk in Patients With Type 2 Diabetes Mellitus,26580237,rct,PMC4701850,PDF Download
Combined detrusor-trigone BTX-A injections for urinary incontinence secondary to neurogenic detrusor overactivity,26261074,rct,PMC5399134,TBD
Robotically assisted treadmill exercise training for improving peak fitness in chronic motor incomplete spinal cord injury: A randomized controlled trial,25520035,rct,PMC4725790,TBD
Training-Specific Neural Plasticity in Spinal Reflexes after Incomplete Spinal Cord Injury,27725887,rct,PMC5048024,TBD
The Influence of Ethanolic Extract of Brazilian Green Propolis Gel on Hygiene and Oral Microbiota in Patients after Mandible Fractures,27595110,rct,PMC4995337,TBD
Randomized clinical trial on 7-days-a-week post-operative radiotherapy vs concurrent post-operative radiochemotherapy in locally advanced cancer of the oral cavity/oropharynx: a report on acute normal tissue reactions,26934504,rct,PMC4985452,TBD
6-PACK programme to decrease fall injuries in acute hospitals: cluster randomised controlled trial,26813674,rct,PMC4727091,PDF Download
"Randomized, controlled, two-arm, interventional, multicenter study on risk-adapted damage control orthopedic surgery of femur shaft fractures in multiple-trauma patients",26809247,rct,PMC4727266,TBD
Community-based InterVentions to prevent serIous Complications (CIVIC) following spinal cord injury in Bangladesh: protocol of a randomised controlled trial,26743709,rct,PMC4716220,TBD
Rapid identification of slow healing wounds,26606167,rct,PMC4820011,PDF Download
Lidocaine Skin Patch (Lidopat® 5%) Is Effective in the Treatment of Traumatic Rib Fractures: A Prospective Double-Blinded and Vehicle-Controlled Study,26539836,rct,PMC5588305,TBD
"A Randomized Controlled Trial to Examine the Effect of 2-Year Vitamin B12 and Folic Acid Supplementation on Physical Performance, Strength, and Falling: Additional Findings from the B-PROOF Study",26412463,rct,PMC4703626,TBD
A Randomized Evaluation of Motivational Interviewing Training for Mandated Implementation of Alcohol Screening and Brief Intervention in Trauma Centers,26117081,rct,PMC4669233,TBD
"Rationale, design and critical end points for the Riluzole in Acute Spinal Cord Injury Study (RISCIS): a randomized, double-blinded, placebo-controlled parallel multi-center trial",26099215,rct,PMC5399137,TBD
Pilot Randomized Controlled Trial of a Novel Web-Based Intervention to Prevent Posttraumatic Stress in Children Following Medical Events,26089554,rct,PMC4723670,TBD
Effect of lower limb compression on blood flow and performance in elite wheelchair rugby athletes,25582434,rct,PMC5072498,TBD
